0,1,2,3,4,5,6
tobi lou,spotify:artist:4T8NIfZmVY6TJFqVzN6X49,So and So / Areyoudown? Pt. 2,spotify:album:2jz9qhYEGmkj3fHA7C8nBx,2020-11-24,Areyoudown? Pt. 2,spotify:track:3cVORyVyOBOPqHXgHgV1WJ
JID,spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,The Never Story,spotify:album:1gPqbxhs90kppgOVxGOPzd,2017-03-10,8701,spotify:track:0gmYtRyuvRKpd6cCApSDTh
6LACK,spotify:artist:4IVAbR2w4JJNJDDRFP3E83,The Never Story,spotify:album:1gPqbxhs90kppgOVxGOPzd,2017-03-10,8701,spotify:track:0gmYtRyuvRKpd6cCApSDTh
100 gecs,spotify:artist:6PfSUFtkMVoDkx4MQkzOi3,100 gecs,spotify:album:7KpuGjIfduSD45wl5IQc7G,2017-01-02,dog food,spotify:track:0j5x1DyuUKjQC40qh8xS4w
INZO,spotify:artist:18Eu7uJEMPWwwt1QUdCglQ,Local Void,spotify:album:47Sz2iGhaRNkj6yIZgIgqF,2018-10-18,Local Void,spotify:track:3Qgf9x6O1MTvCTl0Wy6ibh
Medasin,spotify:artist:62vbsDRAq0qHdezaCOzB0T,Always Afternoon,spotify:album:5DaHMJFjoslPtN7m9xDNYi,2019-05-10,Always Afternoon,spotify:track:6GMaQmdpwGolGyuW6ZJ9X9
Kathleen,spotify:artist:6UqUYZ8pMGiYhuyIcsH61y,Always Afternoon,spotify:album:5DaHMJFjoslPtN7m9xDNYi,2019-05-10,Always Afternoon,spotify:track:6GMaQmdpwGolGyuW6ZJ9X9
blackbear,spotify:artist:2cFrymmkijnjDg9SS92EPM,digital druglord,spotify:album:30QoUTsSdpQuZunPNFsLnm,2017-04-21,if i could i would feel nothing,spotify:track:7pF0xW7MH9Tucfpb1Oys0R
Chase Atlantic,spotify:artist:7cYEt1pqMgXJdq00hAwVpT,PHASES,spotify:album:22DL6IRGNYNenKej7aw8pO,2019-06-28,STUCKINMYBRAIN,spotify:track:4y38UExfSH97v6mz5Ii9am
Chance the Rapper,spotify:artist:1anyVhU62p31KFi8MEzkbf,The Big Day,spotify:album:7bgi7zCoDsZdlLKPonHZqP,2019-07-26,Hot Shower,spotify:track:00ko9WaS4jOX1kEk3gvHjf
MadeinTYO,spotify:artist:5SyGEPymt1G2uto47tVWvZ,The Big Day,spotify:album:7bgi7zCoDsZdlLKPonHZqP,2019-07-26,Hot Shower,spotify:track:00ko9WaS4jOX1kEk3gvHjf
DaBaby,spotify:artist:4r63FhuTkUYltbVAg5TQnk,The Big Day,spotify:album:7bgi7zCoDsZdlLKPonHZqP,2019-07-26,Hot Shower,spotify:track:00ko9WaS4jOX1kEk3gvHjf
Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,channel ORANGE,spotify:album:392p3shh2jkxUxY2VHvlH8,2012-07-10,Pink Matter,spotify:track:1fOkmYW3ZFkkjIdOZSf596
André 3000,spotify:artist:74V3dE1a51skRkdII8y2C6,channel ORANGE,spotify:album:392p3shh2jkxUxY2VHvlH8,2012-07-10,Pink Matter,spotify:track:1fOkmYW3ZFkkjIdOZSf596
